t, u_learned, v_learned
1.447695390781563063e+01, 9.147806763932267993e-01, 1.205743004947046559e+00
1.452505010020040110e+01, 9.145035989725192049e-01, 1.205761585442101103e+00
1.457314629258516980e+01, 9.142299013259199691e-01, 1.205779830668405772e+00
1.462124248496994028e+01, 9.139595431104236001e-01, 1.205797746660385750e+00
1.466933867735470898e+01, 9.136924844609992657e-01, 1.205815339341934411e+00
1.471743486973947945e+01, 9.134286859855700325e-01, 1.205832614528042246e+00
1.476553106212424815e+01, 9.131681087601067892e-01, 1.205849577926367822e+00
1.481362725450901863e+01, 9.129107143238387456e-01, 1.205866235138752574e+00
1.486172344689378733e+01, 9.126564646487557164e-01, 1.205882591676515236e+00
1.490981963927855780e+01, 9.124053220499894756e-01, 1.205898653007425825e+00
1.495791583166332650e+01, 9.121572493625196287e-01, 1.205914424459995749e+00
1.500601202404809520e+01, 9.119122098711687219e-01, 1.205929911259954634e+00
1.505410821643286567e+01, 9.116701672930301870e-01, 1.205945118538639171e+00
1.510220440881763437e+01, 9.114310857726962700e-01, 1.205960051334531213e+00
1.515030060120240485e+01, 9.111949298775784412e-01, 1.205974714594750141e+00
1.519839679358717355e+01, 9.109616645933220624e-01, 1.205989113176500815e+00
1.524649298597194402e+01, 9.107312553193125382e-01, 1.206003251848477342e+00
1.529458917835671272e+01, 9.105036678642753900e-01, 1.206017135292221987e+00
1.534268537074148320e+01, 9.102788684419695908e-01, 1.206030768103439010e+00
1.539078156312625190e+01, 9.100568236669729361e-01, 1.206044154793265655e+00
1.543887775551102237e+01, 9.098375005505614510e-01, 1.206057299789497161e+00
1.548697394789579107e+01, 9.096208664955328649e-01, 1.206070207438299624e+00
1.553507014028056155e+01, 9.094068892110527269e-01, 1.206082882043057802e+00
1.558316633266533024e+01, 9.091955367930434351e-01, 1.206095327826356645e+00
1.563126252505010072e+01, 9.089867777528726212e-01, 1.206107548915969829e+00
1.567935871743486942e+01, 9.087805809724972539e-01, 1.206119549364990773e+00
1.572745490981963989e+01, 9.085769157003588115e-01, 1.206131333153041441e+00
1.577555110220440859e+01, 9.083757515473538380e-01, 1.206142904187447407e+00
1.582364729458917907e+01, 9.081770584828781079e-01, 1.206154266304373834e+00
1.587174348697394777e+01, 9.079808068309472846e-01, 1.206165423269928372e+00
1.591983967935871647e+01, 9.077869672663897438e-01, 1.206176378781225189e+00
1.596793587174348694e+01, 9.075955108111165570e-01, 1.206187136467415488e+00
1.601603206412825742e+01, 9.074064088304645281e-01, 1.206197699890680708e+00
1.606412825651302612e+01, 9.072196330296145028e-01, 1.206208072547189314e+00
1.611222444889779482e+01, 9.070351554500839519e-01, 1.206218257868018728e+00
